signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh
HCC_0_vs_8_DOWN_FC_0,1.4292049601782e-06,1.70369251683476,2.5100396367003,3.69802585592834,224,1756,1.04529408443241,2.17155794397804,1.4438556178175,1.67366574381196,0.587021000141512,1.45757401015016,0.882208523379992,1.62339551673086,1.10914134063002,0.987176989770887,0.330015069151145,1.51134652359689e-13,0.0886034218557688,0.0162457158631125,0.00941952560029514,0.0611726299325084,0.579876445620045,0.507088813324704,0.526940853702697,0.936705217665772
HCC_0_vs_8_DOWN_FC_1,0.00222550846910109,1.30709390914063,2.18453746034921,3.65100310107523,116,1864,1.01212430422462,2.14284306498278,1.48748568411356,1.74455472768592,0.591664256236195,1.4865606301389,0.899679415862423,1.66167872752147,1.11404450219189,0.994847639895903,0.806707624805573,2.95621247553997e-13,0.0678305475960025,0.00893147289647082,0.011104691328423,0.05686560881161,0.639247388569122,0.486796678399579,0.509427861799314,0.974697578826012
HCC_0_vs_8_DOWN_FC_2,0.000962222525041321,1.28935638530465,1.89960403853967,2.79867967023223,178,1802,1.02061377145577,2.14940390957445,1.47338199695932,1.72927500855698,0.588772510208543,1.4728542434477,0.897071587200046,1.6468636093737,1.11410545143012,0.993636996921771,0.678616990133137,2.67111446672244e-13,0.0753372476751548,0.0101457255487002,0.0103661250918308,0.0613697881129345,0.630254241892589,0.494780811312913,0.509084325661682,0.968671389916825
HCC_0_vs_8_FC_0,3.34537468895091e-17,1.77870543646661,2.129094563964,2.54850722855265,1009,971,1.12153363916376,2.08686191579025,1.20187157705828,1.54406906896379,0.570290242332881,1.28562838116811,0.842764782297893,1.59729572359435,1.09006098845969,0.946255990716899,0.0468914887457827,1.63305435385994e-12,0.445243975259229,0.046173758966364,0.00633958732611299,0.240256835071803,0.453575147594239,0.521188854594787,0.599286824771781,0.73678819817681
HCC_0_vs_8_FC_1,1.5683906338532e-13,1.59614755203961,1.89762737596349,2.25605060973506,1290,690,1.10268684872971,2.10383834241936,1.23860772014362,1.59744022512865,0.584137906910337,1.35621393056397,0.844966987380117,1.62192990519962,1.09274507381649,0.95336388213757,0.079048138407922,7.81187600493485e-13,0.372407648795064,0.0292233377844404,0.00868818806138827,0.141612238627478,0.461410346942006,0.507578980591681,0.588953631803642,0.771320828411357
HCC_0_vs_8_FC_2,3.08768038879419e-08,1.38588592692085,1.6622548837435,1.99373645756556,1473,507,1.06678035990731,2.15190396021546,1.34505729453327,1.64364824823904,0.582668271977862,1.40660912207749,0.867354530115092,1.60937848251629,1.10735728150118,0.977682178958341,0.196052508806698,1.42472526677849e-13,0.195894132668045,0.0204183168522905,0.00851508978315499,0.0967852937155863,0.531455362023308,0.51467309600737,0.533446379444637,0.889807484764184
HCC_0_vs_8_UP_FC_0,3.02322685452288e-14,1.63276022792824,1.944467100462,2.31568128626983,1091,889,1.10394368950865,2.07249258409443,1.25443211431907,1.60695947965615,0.577273988480306,1.32915935673606,0.859097310773541,1.62943515565496,1.09517534240272,0.956331235584812,0.0792319402876042,3.61807359772722e-12,0.337427550658424,0.0266997203843411,0.00745534535101572,0.17722927521357,0.503885175240435,0.50350266757619,0.579422023432879,0.785397873423073
HCC_0_vs_8_UP_FC_1,7.57889794212075e-18,1.77290238563143,2.1098424560713,2.51081798158649,1368,612,1.12558353024019,2.06563483833102,1.19024660730814,1.59606402668729,0.594209833792365,1.36887966571027,0.83010136208155,1.64052408805985,1.08740075569674,0.947177619788528,0.0397694076405703,4.18310740983824e-12,0.470677207886566,0.0280737697545013,0.0109398023506372,0.123198311412411,0.416917753775495,0.497540728498418,0.60982842224824,0.74104309036375
HCC_0_vs_8_UP_FC_2,1.97869144154066e-16,1.7161743912095,2.04184932107019,2.42932692115079,1149,831,1.12429612875103,2.07691359549716,1.20990533237689,1.63094090916467,0.609724661551803,1.44824167512505,0.822705669158687,1.66847929275805,1.0959785157045,0.965473661475554,0.0316439238047906,2.36627742634039e-12,0.41925599049668,0.0200485105697452,0.0157175008723528,0.0626371801138817,0.395485651871087,0.482935215982332,0.576052583220962,0.829292601127471
HCC_0_vs_p-H_DOWN_FC_0,0.00194541772637319,1.1378123786968,1.42553297495994,1.78600997910189,454,1526,1.01461653297575,2.14914712137692,1.48994080123898,1.74296493461004,0.59381877377519,1.49931705989016,0.897126006695193,1.65711290493982,1.11290111743133,0.995060258466489,0.738621580794896,3.67448442102854e-13,0.0621433278315017,0.00835405225520069,0.0109513399116445,0.0419419687816307,0.630771860568686,0.489181593346906,0.513603384385807,0.975682502708135
HCC_0_vs_p-H_DOWN_FC_1,0.00906918486651827,0,3338439.81911767,Inf,21,1959,1.00539619587686,2.13897244346418,1.50028245937422,1.75618534315307,0.593941402759774,1.50020282846475,0.901568000791525,1.66668326811152,1.11437640634504,0.996905128187149,0.912408210313523,3.6587294696448e-13,0.0584490542500381,0.00816151721261517,0.0117620336621513,0.0499917423755306,0.645637203935211,0.484448390739969,0.50853977234794,0.98482188618166
HCC_0_vs_p-H_DOWN_FC_2,0.0335460698888381,1.01474182884369,1.21097440359257,1.44515478171176,869,1111,1.00788213493917,2.13957041826284,1.50129991230266,1.75502592684074,0.593728827770531,1.49869503602299,0.900564740174623,1.6598608254256,1.11277908621642,0.995376612052227,0.863995942502253,2.70636586642086e-13,0.0554354278587807,0.00741142028341535,0.0112645320715465,0.0461528701255914,0.642328124069681,0.488328286586288,0.515089981057891,0.977355902819158
