,genes,logfoldchange,pvals
0,CALML5,5.040807723999023,2.4334561433668263e-299
1,RPS16,1.2078901529312134,2.1352955597449807e-293
2,S100A14,4.268302917480469,9.989648296641802e-214
3,SPINT2,1.3692572116851807,1.7737939889301474e-205
4,RPS28,0.545693039894104,2.636593633057575e-176
5,KRT13,3.3233566284179688,8.616924567887378e-159
6,PSMD8,1.5968177318572998,1.26364729837706e-153
7,RPL8,0.44446611404418945,1.6517067067731761e-152
8,RPS3A,0.5628611445426941,5.386893667749826e-144
9,RPL38,0.5403262376785278,8.541919579988409e-140
10,EIF3K,1.2807776927947998,4.499562379245161e-137
11,C19orf33,1.3340165615081787,7.603347615875855e-131
12,MT-CO2,0.3441324234008789,1.4674097896199239e-125
13,RPS29,0.4729524254798889,1.569071989408212e-125
14,RPS21,0.4786986708641052,1.1439586274360244e-122
15,C19orf53,1.0808582305908203,1.633108114073664e-120
16,RPL15,0.4239311218261719,9.826997596468041e-120
17,SOD1,0.8387442827224731,1.7092997109968244e-117
18,KRT17,2.0268096923828125,2.8337921392016357e-117
19,RPL14,0.46357160806655884,5.733505560280689e-115
20,UBL5,0.7201882600784302,1.0187413858059943e-112
21,GADD45GIP1,1.0609852075576782,5.977388365068461e-110
22,S100A10,0.5911628603935242,6.270342559629224e-109
23,KRT14,2.3548498153686523,4.052909770416528e-102
24,ATP5E,0.5643829703330994,3.82553201853395e-101
25,UPK1B,1.3206108808517456,3.4060804004381486e-100
26,MRPS12,1.698725700378418,6.555058472919274e-99
27,ANAPC11,0.8092215657234192,1.402606979352416e-96
28,RPL24,0.390973299741745,2.6423896865695986e-95
29,CSTB,0.604092001914978,1.5751720929529856e-94
30,RPL13,0.36136507987976074,1.578931601959182e-94
31,WDR83OS,0.8985481262207031,6.394154024182516e-94
32,PSMA7,0.8847779631614685,1.9893793515522293e-91
33,PRDX2,0.7289281487464905,5.476457214266708e-89
34,RPL18A,0.3570905029773712,8.921154244412419e-86
35,RPL29,0.48299574851989746,7.295541805512505e-85
36,NDUFB7,0.8359826803207397,4.0326722457449595e-84
37,TPI1,0.7558804750442505,8.038657247313106e-84
38,BLVRB,1.074435830116272,1.4636907578109334e-82
39,NDUFB9,0.6453745365142822,2.2650771656988598e-82
40,ATP5H,0.8723188638687134,3.5034401671003754e-82
41,NMB,1.883684515953064,4.0984130901265917e-82
42,MRPL33,0.7313936948776245,7.316193569994439e-82
43,MEST,1.7249133586883545,1.4595960481245514e-81
44,EID1,1.220138669013977,3.0912973668977434e-81
45,PLA2G16,1.113700032234192,1.367185041108955e-80
46,OAZ1,0.5348016023635864,1.0279354805486465e-79
47,H2AFJ,0.8565472364425659,1.0498867239405587e-79
48,OST4,0.41885247826576233,3.0511031191810476e-76
49,RP11-11N9.4,1.7610334157943726,1.7165870595943014e-72
50,GPX2,1.066117525100708,1.222131849867922e-71
51,H3F3B,0.5410907864570618,1.98031529397034e-71
52,MRPL13,0.8185259699821472,6.735804213727203e-70
53,CYC1,0.8758243918418884,1.1238925027159121e-68
54,GAPDH,0.3701378107070923,3.881422074185616e-68
55,PFN1,0.48793163895606995,1.2386499354606739e-66
56,TMA7,0.6432245969772339,2.1211510986641524e-65
57,NDUFC1,1.261938214302063,4.090089185868609e-65
58,COX7B,0.7534806728363037,5.236041653468647e-65
59,PRDX1,0.44985702633857727,1.0632056171705964e-64
60,FBL,1.2030459642410278,2.3218483187930972e-64
61,PLCXD2,2.185312271118164,6.160594734244304e-63
62,SLIRP,0.8265693187713623,1.4128213689640793e-62
63,CAMK2N1,1.253191590309143,2.031044349808727e-62
64,MRPL4,1.2488744258880615,2.5897191731932274e-62
65,RPL32,0.2855769991874695,2.667405918594823e-62
66,MRPL51,0.7798071503639221,4.980704484051266e-62
67,COTL1,1.0568839311599731,7.490525088651374e-62
68,ACTN4,1.261910319328308,1.5337649365304043e-61
69,TAGLN2,0.7450593709945679,1.307990826364262e-60
70,FABP5,1.0371149778366089,1.65020315760004e-60
71,MGST2,1.3585964441299438,2.410405310417763e-60
72,TIMM50,1.6292753219604492,1.5457716353828312e-59
73,MRPL3,1.1657514572143555,2.5754830340763367e-59
74,SERP1,0.7935084104537964,4.824680297115935e-59
75,ATRAID,0.695518434047699,5.2691433202821836e-59
76,MLF2,0.9150784015655518,7.146595614466705e-59
77,ECH1,1.1627808809280396,9.403921217343997e-59
78,GCSH,1.1064269542694092,2.133615210752991e-58
79,ATP5G1,0.9312563538551331,2.3464478600304334e-58
80,TIMM8B,0.7799128890037537,3.741860422069035e-56
81,EBNA1BP2,1.0560537576675415,1.3961778276882629e-55
82,PSMB5,0.6192361116409302,5.825836996217552e-55
83,STOML2,0.9569002985954285,1.0653951593870322e-54
84,RAD23A,0.8877978324890137,1.0854326861263179e-54
85,CD9,0.7246882915496826,1.3282268343884654e-54
86,IGFBP3,1.1264070272445679,1.8509911311331625e-54
87,KRT6A,1.1024502515792847,2.086813141288239e-54
88,ACTG1,0.5354374051094055,2.1814557035464618e-54
89,MYC,1.2564369440078735,7.181668884472825e-54
90,S100A11,0.32578709721565247,1.062326684429753e-53
91,PRDX4,0.9186578989028931,1.5344255645675077e-53
92,RPS15,0.22084084153175354,7.369050237558553e-53
93,NAA38,0.6935036182403564,8.901444325099248e-53
94,C19orf43,0.5926777124404907,9.60545554230762e-53
95,LSM3,0.8418418765068054,9.91052458116665e-53
96,PIR,1.3705025911331177,1.4107061503925468e-52
97,MRPL12,1.0274999141693115,1.3793431987567325e-51
98,PSMB6,0.6780565977096558,1.7930823559487904e-51
99,SNRPD1,0.80869460105896,1.0963339660510035e-50
100,RPSA,0.26880648732185364,1.4592431004525817e-50
101,DNPH1,1.0194308757781982,1.5229273931317043e-50
102,RNF7,0.8270899057388306,2.554323522353837e-50
103,RPS27A,0.3055197596549988,3.4236872509088733e-50
104,CTAG2,0.9551457762718201,1.1898676902590491e-49
105,HSBP1,0.6091980934143066,1.2021801327701513e-49
106,RPL23A,0.24912598729133606,1.9783847434729853e-49
107,MRPL52,0.7593641877174377,4.875904887317039e-49
108,WDR43,1.1091641187667847,8.918606864938667e-49
109,SNHG19,1.3294252157211304,2.2130960385580395e-48
110,SH3BGRL3,0.6780727505683899,2.9406983278125057e-48
111,RPS6,0.2939557731151581,2.3692641160855654e-47
112,C1QBP,0.7753580212593079,3.079449255675667e-47
113,YBX3,0.6888186931610107,3.2796444788448916e-47
114,S100A6,0.3957446217536926,3.52995732940804e-47
115,BOLA3,1.038791537284851,4.0012121038654957e-47
116,MRPS7,1.0068413019180298,7.779161249726893e-47
117,PSMC4,1.2643376588821411,1.1941705954100928e-46
118,CRIM1,1.7981266975402832,3.527217567128096e-45
119,CHCHD10,1.0145443677902222,1.1564884043717436e-44
120,RPS19,0.2408997118473053,1.527419578154355e-44
121,EIF3G,0.7377880811691284,1.8879289289653315e-44
122,ATP5J,0.5594199299812317,2.722223256389329e-44
123,DCXR,0.9143871665000916,3.0898999998467483e-44
124,ATP5G3,0.6632177829742432,2.2649369187426413e-43
125,ALDOA,0.4658391773700714,2.4891681175417175e-43
126,PSMB2,0.6869205832481384,6.1751432223670214e-43
127,HSPE1,0.6425057053565979,1.1208163873879315e-42
128,TMEM205,1.1264184713363647,2.2445083922391402e-42
129,LMO4,1.181532859802246,2.8062581116539345e-42
130,FAU,0.2451334446668625,5.441570168640576e-42
131,SYNGR2,0.8063561320304871,8.584431948720943e-42
132,KCNK6,1.812792181968689,1.0406688650911132e-41
133,LSM7,0.6612926125526428,1.3965155075072073e-41
134,MRPL40,0.8792805671691895,3.140641664253421e-41
135,C20orf27,1.1162253618240356,4.403707427422454e-41
136,PSMB1,0.5369915962219238,1.6537666676667798e-40
137,ALDH3A1,1.1077431440353394,2.330839292676882e-40
138,SRSF7,0.827559769153595,2.688724782351697e-40
139,AHSA1,0.9132297039031982,4.518055651621232e-40
140,SNX17,0.770374059677124,7.852421355883367e-40
141,GNAS,0.6019687056541443,1.7084623823261264e-39
142,ARPP19,1.2232638597488403,2.135264228776605e-39
143,DPY30,0.6100026369094849,3.221365859122738e-39
144,KRT4,1.90004301071167,3.347760133174778e-39
145,GAL,1.3484009504318237,4.263771320528313e-39
146,SNU13,0.5224971175193787,1.351378782358263e-38
147,HSP90AA1,0.630835771560669,1.659362057500111e-38
148,NKX2-8,2.893981695175171,1.7818572849811095e-38
149,NME1,0.86445152759552,3.3899927791995885e-38
150,SRSF2,0.7893021702766418,3.762966938204658e-38
151,ARF6,0.8099064230918884,4.573646623761656e-38
152,MORF4L2,0.668828010559082,8.213375297155247e-38
153,MAL2,0.8523370027542114,1.6462312973873082e-37
154,APRT,0.6109873652458191,1.8648111493328248e-37
155,ASNA1,0.7736297845840454,2.3757400945006017e-37
156,VGLL1,1.1990270614624023,2.9301419584036095e-37
157,CD320,1.1495274305343628,3.257807919610486e-37
158,NDUFA4,0.3274390697479248,3.5025539998568895e-37
159,SLC39A4,1.0431843996047974,6.852506168464624e-37
160,C17orf89,0.8811161518096924,7.236002575118783e-37
161,S100A16,0.5721561908721924,1.1130071811482545e-36
162,PRDX6,0.4628118872642517,1.140007668019711e-36
163,CALM1,0.6387931108474731,1.8825065164845944e-36
164,COX20,0.712943434715271,3.405688268784102e-36
165,SNRPN,1.0682051181793213,3.85281176574724e-36
166,IVL,1.3628591299057007,5.6048434179832295e-36
167,FAM162A,1.0015625953674316,8.150383578964002e-36
168,SNRPG,0.5525874495506287,9.815736464853572e-36
169,SSR3,0.6879690289497375,1.0026396022695099e-35
170,ATP5C1,0.4070986211299896,1.6031329374903272e-35
171,ABCE1,1.294048547744751,1.7016689264770706e-35
172,ICT1,1.115017056465149,1.7148139333181676e-35
173,NHP2,0.6842960715293884,1.944058256816954e-35
174,UQCR10,0.4444392919540405,2.419969780614352e-35
175,RAN,0.4996030032634735,2.471606395000467e-35
176,HSD17B10,0.889954149723053,2.48111180648215e-35
177,ADRM1,0.8317081332206726,3.998270871931003e-35
178,SLC9A3R1,1.0112227201461792,4.4545651614701284e-35
179,NDUFAF3,0.9596407413482666,7.976374361678175e-35
180,MRPL57,0.8835717439651489,7.991582673217707e-35
181,IMPDH2,0.8516382575035095,1.1978490691605327e-34
182,ENY2,0.5834227204322815,1.5100367461803956e-34
183,RSL1D1,0.7360550761222839,2.086944845183094e-34
184,AKR1C3,0.8210803866386414,3.073432096721246e-34
185,CLDN7,0.6491277813911438,4.0709263255941985e-34
186,FARSA,1.1030081510543823,4.088225479978653e-34
187,RP11-490M8.1,1.846150517463684,8.663680351293259e-34
188,YBX1,0.3404107093811035,1.017419244641873e-33
189,DNAJC19,0.7619960308074951,1.137863199400317e-33
190,MAGEF1,0.9309108853340149,1.2671149906285513e-33
191,MIR4435-2HG,0.7923888564109802,1.9616551855943998e-33
192,GSTP1,0.21902257204055786,2.590559766837799e-33
193,RPL30,0.22582285106182098,2.996550696492905e-33
194,HSPB1,0.39870646595954895,3.841939437870155e-33
195,AGR2,0.7460287809371948,4.274583314380752e-33
196,RPS19BP1,0.8117175698280334,5.972447757181593e-33
197,IFT57,1.1654309034347534,8.303749539081252e-33
198,SCCPDH,0.9277286529541016,1.0172663210449996e-32
