signature,log2FC
TMPRSS11E,-25.4407405853272
BCAS1,-5.53386974334717
DEFB1,-4.80118894577026
SPTSSB,-4.50647783279419
ALDH1A1,-4.48093748092651
DAPK2,-4.4172739982605
NKX2-8,-3.55569887161255
PPP2R2B,-3.45848155021668
SEPP1,-3.45190715789795
KRT13,-2.94668173789978
FAM84A,-2.88985633850098
GPRC5C,-2.73270273208618
RP1-124C6.1,-2.64782047271729
PLA2G10,-2.6463794708252
HTRA3,-2.63771224021912
MUC4,-2.61123037338257
IVL,-2.58568072319031
KRT4,-2.56925821304321
SOD3,-2.56235480308533
EPHB6,-2.41580963134766
SEMA5A,-2.38999485969543
CLDN8,-2.38642334938049
ACKR3,-2.34056043624878
C8orf4,-2.31707811355591
RP11-128M1.1,-2.26562166213989
CNFN,-2.25521087646484
SPRR1B,-2.12176084518433
TMPRSS4,-2.10665917396545
LINC01419,-2.0931408405304
PLCE1,-2.06810283660889
HPGD,-2.06568264961243
HEG1,-2.06509637832642
CTSH,-2.05500245094299
RBPMS,-2.00350546836853
PCAT6,-1.99932754039764
SBF2-AS1,-1.92676198482513
BTG2,-1.91571378707886
TXNIP,-1.8945564031601
TNFSF10,-1.89068675041199
BHLHE41,-1.88608980178833
PALMD,-1.86287546157837
MT1F,-1.83812463283539
CCDC80,-1.83516359329224
TCF7L1,-1.82080793380737
C1orf21,-1.79208791255951
VILL,-1.72963738441467
EDIL3,-1.72610259056091
S100P,-1.72143769264221
AC006262.5,-1.68747615814209
PBX1,-1.6685152053833
NUPR1,-1.65610098838806
BCO2,-1.62953317165375
IL20RA,-1.5891695022583
UPK2,-1.57128417491913
LCA5,-1.57088315486908
ZFP36L2,-1.55134379863739
ANXA9,-1.54992318153381
BEX2,-1.54606688022614
CMTM8,-1.54494416713715
SMIM8,-1.51764285564423
RP11-490M8.1,-1.51528084278107
ALDOC,-1.51282370090485
MXI1,-1.50904881954193
SORBS2,-1.48165118694305
MIR548XHG,-1.47717356681824
SMAD9,-1.47648227214813
VGLL1,-1.47558212280273
C5orf42,-1.47476577758789
ELF3,-1.47368431091309
LMO4,-1.46869254112244
WDR59,-1.45090627670288
RP13-942N8.1,-1.44964420795441
RP11-108M9.4,-1.43163132667542
CEP68,-1.43116366863251
TMEM52B,-1.43105113506317
TMEM45A,-1.42357349395752
SCRN2,-1.41344749927521
HIST1H1B,-1.40996766090393
ADM,-1.40028560161591
RP11-11N9.4,-1.39401483535767
PITX2,-1.38913571834564
PRR4,-1.38823366165161
TSC22D3,-1.38484656810761
FYB,-1.37221586704254
PHYKPL,-1.36541998386383
FAM134B,-1.34906387329102
ZNF804A,-1.34644544124603
AKR1C2,-1.3172105550766
MPPE1,-1.31558156013489
SNTA1,-1.31211698055267
ZNF704,-1.31188237667084
ZFP36,-1.3042528629303
RP11-30J20.1,-1.29890787601471
AGR2,-1.29593372344971
KRT15,-1.29101502895355
SNRPN,-1.2894686460495
C21orf58,-1.28796374797821
HLA-DMA,-1.28782677650452
RALY-AS1,-1.28687798976898
PIGBOS1,-1.27985560894012
ANXA2R,-1.27869629859924
TOM1L2,-1.27850329875946
DHRS4L2,-1.27788817882538
