signature,log2FC
PHACTR1,-1.02270245552063
RP11-879F14.2,-1.02610778808594
PPARA,-1.06535959243774
CDA,-1.08579540252686
KISS1,-1.10590672492981
SEMA3A,-1.12370896339417
AMPH,-1.13794338703156
FAM105A,-1.14297044277191
ITGA6,-1.16503238677979
MT1A,-1.17127108573914
CNFN,-1.17410266399384
BMPER,-1.21971523761749
DGUOK-AS1,-1.30963170528412
APCDD1L,-1.34809005260468
COX7B2,-1.38519358634949
RP3-460G2.2,-1.39567947387695
LINC00707,-1.45233225822449
PTPRN2,-1.54802703857422
RAP1GAP2,-1.55545234680176
AC011043.1,-1.58247053623199
RP11-774D14.1,-1.73539960384369
PLCB4,-1.74578857421875
MMP1,-1.75448679924011
C1orf233,-1.79303407669067
KIRREL3,-1.81705963611603
SPANXD,-1.88137912750244
VSTM1,-1.88504886627197
MAGEA6,-2.0156135559082
STXBP6,-2.04022526741028
SPANXC,-2.11199736595154
GALNT8,-2.18961620330811
EPB41L3,-2.19585347175598
RP11-688I9.4,-2.26588654518127
BCHE,-2.28494358062744
SSX1,-2.32126307487488
PDE1C,-2.40955305099487
NRIP3,-2.41336035728455
SPANXB1,-2.54965209960938
