signature,log2FC
SULT1E1,-7.38055276870728
BCAS1,-5.08647632598877
SEMA5A,-4.55507850646973
LINC01419,-4.02928733825684
SEPP1,-3.93765497207642
DIO2,-3.67739486694336
IVL,-3.58080816268921
RP11-138I17.1,-3.57701921463013
ALDH1A1,-3.49193143844605
RP1-124C6.1,-3.38264226913452
SLC16A7,-3.27396011352539
SLC7A8,-2.96241068840027
BEX4,-2.72822499275208
TNFSF10,-2.65797281265259
AC006262.5,-2.49301815032959
CRYAB,-2.48150587081909
LINC01268,-2.48053789138794
HPGD,-2.47731709480286
GBP2,-2.37915205955505
SMPDL3A,-2.27594804763794
EDIL3,-2.27284836769104
BTG2,-2.20778918266296
CASC9,-2.20745038986206
SNHG18,-2.2000846862793
DAPK2,-2.13497138023376
DAB2,-2.1021044254303
KRT13,-2.06066966056824
PRSS22,-2.05664491653442
C1orf21,-2.03022313117981
PGM2L1,-2.02948808670044
SLC40A1,-1.95549416542053
SCEL,-1.95143020153046
IGFBP3,-1.93662261962891
RBP1,-1.93586039543152
KLHL24,-1.9116770029068
LCN2,-1.89615547657013
CTSH,-1.88995516300201
NUPR1,-1.8589380979538
LUM,-1.80870378017426
DHRS3,-1.80343639850616
GPNMB,-1.80041944980621
UPK3B,-1.78011333942413
ANG,-1.76610243320465
CLEC2B,-1.76403331756592
ZG16B,-1.73417961597443
EPHA4,-1.70807540416718
SOSTDC1,-1.69591534137726
HIST1H2AC,-1.67319893836975
RP11-1275H24.1,-1.66649627685547
AGR2,-1.65766882896423
WFDC2,-1.63539111614227
SOX4,-1.63469517230988
PBXIP1,-1.62733817100525
MMP13,-1.62298619747162
RBPMS,-1.62102806568146
TXNIP,-1.61805880069733
CALCOCO1,-1.6138961315155
KMO,-1.59989583492279
CCDC80,-1.57211446762085
SLFN5,-1.56502163410187
MIR548XHG,-1.55330789089203
PNRC1,-1.54225921630859
CREBRF,-1.53085517883301
HCAR2,-1.52185535430908
RP11-277P12.20,-1.51492476463318
FYB,-1.51430571079254
HIST3H2A,-1.50440835952759
ACKR3,-1.50266289710999
GATA3,-1.49314892292023
COL12A1,-1.48755204677582
UNC5B-AS1,-1.48524343967438
MAP2,-1.46923959255219
OLR1,-1.46722197532654
CD24,-1.45147275924683
SNRPN,-1.44791555404663
LY96,-1.44756293296814
IGFBP6,-1.43593323230743
MMP2,-1.42305195331573
RP11-367G18.1,-1.41519272327423
ELF3,-1.41144382953644
ZFP36L2,-1.39580273628235
RPL3L,-1.39052259922028
SKIL,-1.38710963726044
LINC01139,-1.38356447219849
PBX1,-1.38181054592133
CLU,-1.37697899341583
SORL1,-1.36615550518036
KRT4,-1.35575902462006
GLUL,-1.33855557441711
RNF207,-1.33644556999207
LRP1,-1.30522298812866
KRT15,-1.29968285560608
ALOX5,-1.29520261287689
LMO4,-1.2779096364975
SOD3,-1.27673351764679
RARRES3,-1.26289665699005
LINC00504,-1.25936925411224
DRD4,-1.25509822368622
HBP1,-1.23469114303589
FRMD4B,-1.22661411762238
OPN3,-1.22639417648315
MAGED1,-1.22485709190369
GPR161,-1.22328186035156
TMEM45A,-1.22210133075714
TLE4,-1.21119475364685
PDPN,-1.20117473602295
ANK3,-1.19935965538025
BPGM,-1.18863677978516
IFI6,-1.16762006282806
ACSF2,-1.16218423843384
N4BP2L1,-1.15848064422607
ZNF224,-1.15368008613586
LYPD6B,-1.14577090740204
CTSS,-1.13838243484497
CARD6,-1.13206768035889
GLT8D2,-1.12646770477295
AHNAK2,-1.12633311748505
PCMTD1,-1.12447679042816
MALAT1,-1.11586081981659
HIST1H2BD,-1.1128123998642
FBXO32,-1.11209213733673
NDRG4,-1.1044397354126
NEDD9,-1.1029007434845
TMEM52B,-1.09633457660675
ANKH,-1.09601402282715
CLIC3,-1.09544432163239
ST5,-1.09326541423798
HDAC5,-1.07709622383118
CCNG2,-1.07436275482178
FOSB,-1.0728325843811
NEAT1,-1.07218611240387
CCDC127,-1.06724059581757
KRT5,-1.0554758310318
FAM134B,-1.04782605171204
LUZP2,-1.03950095176697
ALDH3A1,-1.03779244422913
HES1,-1.03744745254517
IFITM2,-1.03244912624359
GATA2-AS1,-1.02315759658813
CALB1,-1.02142906188965
EPS8,-1.02083289623261
MEIS2,-1.01986312866211
ERV3-1,-1.0194548368454
LZTFL1,-1.0110912322998
KDM5B,-1.00226736068726
PIK3CD-AS2,-1.00122547149658
