signature,log2FC
RP11-138I17.1,-4.96802711486816
CD74,-4.51160049438477
CRIP1,-4.45851135253906
TRIM22,-4.44021844863892
IGF2BP1,-4.38834047317505
BST2,-4.29063892364502
RARA-AS1,-3.96955537796021
MCOLN3,-3.77778029441834
RP11-180O5.2,-3.76502585411072
RBP1,-3.76314949989319
FAM3B,-3.74418306350708
ARMCX2,-3.69209122657776
RTP4,-3.57568383216858
CALHM2,-3.5553834438324
HERC5,-3.54223465919495
LINC01029,-3.51729345321655
TRIML2,-3.51464891433716
HLA-G,-3.5095055103302
LINC00504,-3.40203237533569
FN1,-3.27034091949463
MVP,-3.18904185295105
ZSCAN31,-3.13848066329956
CRABP2,-3.07312774658203
CFD,-2.98670983314514
ODF3B,-2.96778106689453
SLFN13,-2.78114461898804
RHOF,-2.75568413734436
SLC43A3,-2.753173828125
KMO,-2.68567705154419
IRF7,-2.67311096191406
NEURL1,-2.63693523406982
DMD,-2.6319522857666
NUPR1,-2.59852075576782
RTTN,-2.57441234588623
LINC01268,-2.56352424621582
IQCA1,-2.56136131286621
MMP13,-2.54466414451599
GPNMB,-2.5418758392334
GBGT1,-2.49091100692749
TCEA3,-2.48912978172302
ABHD8,-2.4879298210144
FAM89B,-2.48422479629517
KANK4,-2.41294288635254
DIAPH2,-2.39331555366516
APOL3,-2.38020300865173
TEPP,-2.35247683525085
FKBP10,-2.32459330558777
SYT5,-2.30906939506531
PLEKHA4,-2.26678228378296
GBP1,-2.25923538208008
RP11-401O9.3,-2.24723553657532
PXDN,-2.22662115097046
CLEC2B,-2.18677282333374
RP11-357H14.17,-2.17397475242615
CST6,-2.07639384269714
KLK1,-2.04203820228577
ANXA6,-2.03067064285278
CKMT1B,-2.00630259513855
PLAU,-1.99609863758087
ETV7,-1.98862385749817
TMEM98,-1.97778952121735
RASGRP2,-1.95806801319122
RPL3L,-1.95530641078949
AXL,-1.94909834861755
RP11-78C3.1,-1.9380476474762
GDF15,-1.93497490882874
CCL26,-1.91787564754486
PSMB9,-1.89511251449585
APOBEC3G,-1.89040017127991
BASP1,-1.88997101783752
TMEM92,-1.88008344173431
FCHO1,-1.87893283367157
LY96,-1.83593642711639
CTSS,-1.83350872993469
ADGRE1,-1.82570695877075
C1QTNF2,-1.79961740970612
PCDHA12,-1.78763043880463
PLAT,-1.78447937965393
CLDN10,-1.75844299793243
NAPRT,-1.72822427749634
HCLS1,-1.72796249389648
MROH6,-1.7057900428772
RARRES3,-1.69602453708649
IL20RB,-1.65783786773682
DSE,-1.64377236366272
SOX4,-1.63568723201752
N4BP2L1,-1.60583281517029
RP11-197K6.1,-1.60158383846283
UBE2L6,-1.59425961971283
C19orf81,-1.592609167099
NDN,-1.59232723712921
FAM169A,-1.55329596996307
P2RY6,-1.54052710533142
TGFBR3L,-1.53911900520325
MDK,-1.53635108470917
FAM50B,-1.53548634052277
RASGEF1A,-1.53455543518066
RBP7,-1.52232539653778
KLK5,-1.51850366592407
FHL1,-1.51604521274567
SLC40A1,-1.51137578487396
CH17-360D5.3,-1.50385797023773
AKAP12,-1.49711906909943
IFITM2,-1.47504782676697
ASS1,-1.46909248828888
PDPN,-1.45955157279968
GSN,-1.4518176317215
FXYD1,-1.44997656345367
CARD16,-1.44964563846588
HLA-B,-1.44923686981201
CERCAM,-1.44436419010162
MT1E,-1.4334625005722
PLEKHF1,-1.37953972816467
TUBA1A,-1.37437725067139
PRSS8,-1.36434316635132
DRAM1,-1.35856080055237
ESPN,-1.35762214660645
RBBP8,-1.35757040977478
LPXN,-1.34341907501221
ERP44,-1.33597993850708
HOXA11-AS,-1.33351290225983
IFI35,-1.32995069026947
EDIL3,-1.32895088195801
PLK2,-1.32708132266998
IRF1,-1.31228733062744
RP11-20D14.6,-1.30031216144562
OLFML2A,-1.29407846927643
RP11-314N14.1,-1.26361107826233
DDAH2,-1.25542426109314
MFAP5,-1.25035643577576
COL5A2,-1.23946499824524
IGFBP7,-1.23668658733368
TGFBI,-1.21675729751587
CMTM3,-1.19978880882263
RP1-124C6.1,-1.18578815460205
CTSF,-1.1816418170929
PIP5KL1,-1.17950654029846
ISYNA1,-1.17924797534943
CALD1,-1.16490566730499
CTGF,-1.16263377666473
TUBB2B,-1.16023433208466
DFNA5,-1.1553248167038
DUSP10,-1.14765012264252
UCP2,-1.14183354377747
FAM71E1,-1.13559293746948
CASP1,-1.13284933567047
TEAD2,-1.13089406490326
FOXP1,-1.12151169776917
ST5,-1.11057424545288
LINC01503,-1.10211002826691
TMEM25,-1.09498643875122
UBC,-1.09437012672424
HLA-A,-1.08346545696259
LINC01615,-1.0793936252594
RAC3,-1.0782995223999
ITGB1,-1.0753026008606
PSAP,-1.06473898887634
PROC,-1.05714416503906
EDN1,-1.05016243457794
AGA,-1.04375576972961
CLIC3,-1.04013895988464
MFSD13A,-1.03877341747284
SAMD11,-1.03030061721802
MICA,-1.02735936641693
CD44,-1.02682948112488
SERPINE2,-1.00725269317627
NOXO1,-1.00644850730896
DDIT3,-1.00561463832855
