signature,log2FC
SPRR1B,-26.3894863128662
SULT1E1,-25.032922744751
AC006262.4,-24.973711013794
LINC01419,-7.39419031143189
ZSCAN18,-6.9662184715271
TMPRSS11E,-6.51246500015259
PCSK5,-6.16170787811279
BCAS1,-6.01505565643311
SPTSSB,-5.97583484649658
IVL,-5.88592052459717
ZMYM2,-5.53228187561035
SEPP1,-5.04122495651245
CFH,-5.00533628463745
MEF2C,-4.96057748794556
METTL7A,-4.91375684738159
DIO2,-4.83516311645508
SEMA5A,-4.80838251113892
ALDH1A1,-4.8070387840271
EPHB6,-4.78644227981567
KRT13,-4.74732685089111
FABP4,-4.69181871414185
HBE1,-4.6778154373169
EPB41L4A,-4.60968780517578
PLCXD3,-4.60792827606201
ST3GAL5,-4.49159479141235
MUC4,-4.486083984375
PPP2R2B,-4.48570346832275
AC019349.5,-4.47295570373535
RNF128,-4.34326362609863
RP1-124C6.1,-4.29289770126343
CRYAB,-4.20010232925415
HPGD,-4.14279556274414
AC006262.5,-4.1052737236023
SLC7A8,-4.02378702163696
TMPRSS4,-3.98340606689453
SLC16A7,-3.92616510391235
C1orf21,-3.92278838157654
BEX4,-3.86897611618042
SPATA17,-3.78560042381287
DAPK2,-3.77389717102051
CNGA1,-3.71981287002564
VILL,-3.62159609794617
GPRC5C,-3.52076864242554
GBP2,-3.50085496902466
TNFSF10,-3.49451351165772
ATOH8,-3.47436904907227
CALML5,-3.46026086807251
KRT4,-3.44863271713257
MAP2K6,-3.34567260742188
DEFB1,-3.29469275474548
TNNT3,-3.28634166717529
CLDN8,-3.28142237663269
RP11-138I17.1,-3.2276017665863
RP11-890B15.2,-3.20996069908142
C8orf4,-3.20819497108459
NKX2-8,-3.17974638938904
FOLR1,-3.17771029472351
SMPDL3A,-3.12535572052002
ANOS1,-3.0609085559845
PCSK9,-3.05035305023193
MAB21L3,-3.04144883155823
LCN2,-3.03198218345642
RP11-128M1.1,-2.99343395233154
FLRT3,-2.9862334728241
FAM134B,-2.9728410243988
PLA2G10,-2.97218751907349
LINC01268,-2.96574473381043
S100P,-2.95888328552246
PHGR1,-2.94219827651978
CCDC92,-2.93665838241577
BTG2,-2.93337512016296
ALDH3A1,-2.92489123344421
ZG16B,-2.8996365070343
STON1,-2.89092969894409
GALNT5,-2.88536524772644
GCNT1,-2.87065696716309
CTSH,-2.86333012580872
IGFBP3,-2.86028742790222
IL1RN,-2.84069609642029
SCEL,-2.83550143241882
NUPR1,-2.81236457824707
IFITM10,-2.80903601646423
ACKR3,-2.79162859916687
