key,term,es,overlap,ledge,signature_genes,perc,KM_HZ
7_vs_8_UP,positive regulation of DNA biosynthetic process (GO:2000573),0.6274098948666029,HSP90AA1,HSP90AA1;HSP90AB1;CCT5;PTGES3;CCT4;CCT6A;CCT7;TCP1;CCT2;CCT8,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.1,2.7174220185199
7_vs_8_UP,proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161),0.4757669944643449,CDC20;PTTG1;CCNB1;UBE2S,CDC20;PTTG1;CCNB1;UBE2S;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;DDB1;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;CTNNB1;ANAPC15;UBQLN1;PSME4;PSMB7;UCHL1;PSMA3;VCP;DCAF11;SKP1;PPP2R5C;PSME3;PSMC5;MAD2L1;PSMA1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.0975609756097561,2.7174220185199
7_vs_8_UP,protein ubiquitination (GO:0016567),0.44148913780648275,HIST1H2BJ;HIST1H2BH;BIRC5;HIST1H2BD;UBE2S,HIST1H2BJ;HIST1H2BH;BIRC5;HIST1H2BD;UBE2S;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;DDB1;PSMA4;PSMC1;PSMB3;ARIH1;PSMC4;LEO1;PSMB2;USP5;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;PSMA3;VCP;LMO7;SKP1;PRPF19;ISG15;PSME3;PSMC5;PSMA1;UBE2N;UBB;PSMD13;PCNP;UBA1;RNF26;PLK1;FBXW2;RNF10;RBBP6;RNF181,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.09615384615384616,2.7174220185199
7_vs_8_UP,positive regulation of ubiquitin protein ligase activity (GO:1904668),0.5208701677298655,CDC20;CCNB1;UBE2S,CDC20;CCNB1;UBE2S;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSME4;PSMB7;RAB1A;PSMA3;SKP1;PSME3;PSMC5;MAD2L1;PSMA1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.08823529411764706,2.7174220185199
7_vs_8_UP,negative regulation of ubiquitin protein ligase activity (GO:1904667),0.5459669445955957,CDC20;CCNB1,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.08,2.7174220185199
7_vs_8_UP,negative regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051436),0.5459669445955957,CDC20;CCNB1,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.08,2.7174220185199
7_vs_8_UP,regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle (GO:0051439),0.5335717321277356,CDC20;CCNB1,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.08,2.7174220185199
7_vs_8_UP,positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition (GO:0051437),0.5261003705355871,CDC20;CCNB1,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.07692307692307693,2.7174220185199
7_vs_8_UP,positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000060),0.515444137898019,CDC20;CCNB1,CDC20;CCNB1;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;PSMC6;PSMC2;PSMA2;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;ANAPC15;PSME4;PSMB7,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.07692307692307693,2.7174220185199
7_vs_8_UP,protein deubiquitination (GO:0016579),0.46029802409472087,CDC20;CCNA1;USP36,CDC20;CCNA1;USP36;PSMD14;PSMA7;PSMB6;PSME2;PSMD2;PSMD9;PSMD3;PSMA4;PSMC1;PSMB3;PSMC4;PSMB2;USP5;PSMC6;ACTB;PSMC2;PSMA2;USP14;PSMA5;PSMB1;PSMD12;PSMD6;PSMD11;PSMD1;PSME4;PSMB7;ADRM1;UCHL1;USP10;PSMA3;VCP;YY1;BABAM1;PSME3;PSMC5;PSMA1,HIST1H3H;HIST1H3G;RP1-34B20.21;TROAP;HIST1H2BJ;CDC20;NMU;PTTG1;LGALS1;CTA-29F11.1;CCNA1;HIST2H2BE;CCNB1;HIST1H2BH;CCNB2;UBE2F;PTMS;HSPH1;C12orf75;CDKN3;HMGB1;LDHA;NR1D1;KIF20A;USP36;BIRC5;HIST1H2AC;HIST1H2BG;TIGAR;GAL;HSP90AA1;RRS1;C11orf24;HIST1H2BD;HMGB3;HIST1H4H;FOSL1;CEP70;CLEC2L;FKBP4;PHF19;ILF3-AS1;ODF2;NAA30;UBE2S;SAPCD2;CDKN2AIPNL;KIF4A;HSPE1;INHBA;ZMPSTE24;SORT1,0.07692307692307693,2.7174220185199
