,signature,KM_pval,KM_HZ_0.95_lower,KM_HZ,KM_HZ_0.95_upper,n_low,n_high,Cox_HZ_activation_Z,Cox_HZ_ChemotherapyYES,Cox_HZ_SubtypeBasal,Cox_HZ_SubtypeHer2,Cox_HZ_SubtypeLumA,Cox_HZ_SubtypeLumB,Cox_HZ_Subtypeclaudin-low,Cox_HZ_SubtypeNC,Cox_HZ_Cellularitymoderate,Cox_HZ_Cellularityhigh,Cox_pval_activation_Z,Cox_pval_ChemotherapyYES,Cox_pval_SubtypeBasal,Cox_pval_SubtypeHer2,Cox_pval_SubtypeLumA,Cox_pval_SubtypeLumB,Cox_pval_Subtypeclaudin-low,Cox_pval_SubtypeNC,Cox_pval_Cellularitymoderate,Cox_pval_Cellularityhigh,MDA
302,MDA_13_vs_proxy_parental_DOWN_FC_2,0.00010251889659169001,0.590750655380057,0.705215871421231,0.8418601329937611,1079,901,0.9412690787626559,2.15256092982454,1.44988262495698,1.73501897202919,0.6045053487210121,1.5341420963455201,0.8727594861841621,1.6394948525901898,1.1017871018983898,0.9906874478168209,0.210356903551178,1.5358531415728e-13,0.0819212926130343,0.00787190522073672,0.0139734820141246,0.0308528625865729,0.548349339166584,0.498175593688951,0.554027759866547,0.953971152426391,1
305,MDA_8_vs_proxy_parental_DOWN_FC_2,2.75286264260919e-05,0.582802480872751,0.692627245974316,0.8231476659940842,865,1115,0.9122299381269549,2.1308597303783,1.4677001820383,1.7088558131988303,0.597869501763058,1.5194490822934699,0.907092375791963,1.6657324411567398,1.1085106051548301,0.9807827561754391,0.0524791991759897,2.4990444390617004e-13,0.0695437415301299,0.00980579053299669,0.0118557028971831,0.0343376592354796,0.6650614775656379,0.48435291966290706,0.528949820091666,0.904755161992644,1
308,MDA_8_vs_proxy_parental_FC_1,5.9094373455269104e-05,0.570129673099526,0.6859971122812779,0.8254122882253531,498,1482,0.9257609917925541,2.1719452169504803,1.40747250003418,1.6842379552935298,0.593044246179514,1.46544880846603,0.8937439956488729,1.6824774964624598,1.12046366817577,1.00073565251051,0.0830274848559233,9.09033988572261e-14,0.11196226414355198,0.012584784146101003,0.0106852902072879,0.0547343870405451,0.617959033793968,0.47585133749752095,0.48733823429534207,0.996384679711754,1
313,MDA_7_vs_proxy_parental_FC_1,0.00053556265019271,0.5372886994246769,0.673187025726619,0.843458595149895,1528,452,1.03637698248885,2.16915811617182,1.54198808405675,1.7716417858312101,0.6007341834729111,1.56449914361677,0.9156132810477309,1.6710936765431899,1.11977530602301,1.00731440099828,0.44551942303823905,2.2584781094722603e-13,0.0423318587148092,0.00570056998258942,0.0128430059685033,0.0276550952180978,0.69636711875588,0.48162107998491205,0.489373058135176,0.964202046981316,1
314,MDA_2_vs_proxy_parental_FC_1,3.2357031684730597e-06,0.559273818274526,0.664912615041907,0.7905050642382351,898,1082,0.9886682681314671,2.1386155148980097,1.48185731247644,1.75030017633912,0.595284751601931,1.50283079254348,0.905459161763216,1.6701053188985602,1.11318902939398,0.995718846343242,0.8180874672131851,2.2598750554704398e-13,0.07769988448640201,0.00782655365476928,0.0112416741547709,0.0407164176027094,0.659791991567588,0.48215071172011204,0.512787974902666,0.978949148556979,1
320,MDA_1_vs_proxy_parental_FC_1,2.14564579419276e-07,0.534986330915633,0.635785180494821,0.7555759322766271,792,1188,0.9980457844313281,2.13522907495736,1.50158999084303,1.7631322898805002,0.595633032376586,1.50660093421897,0.901963818613346,1.6734360154879901,1.11482093743843,0.997796097573624,0.970651433045746,2.25788690725763e-13,0.0743372891832019,0.00723577514474178,0.011488801004241002,0.04908650990314,0.64753032167257,0.48042067485574896,0.507728199768904,0.9892728362964979,1
322,MDA_3_vs_proxy_parental_FC_0,1.49948660931353e-06,0.5263320381619361,0.6345048997204521,0.764909674081808,1201,779,1.05037374412075,2.14178645633419,1.6212500168949802,1.84780858687424,0.603489782978708,1.5795154740916202,0.9342059318291991,1.6869322882191002,1.12475411066545,1.0166327596718299,0.32818668598226197,1.80006042585886e-13,0.0308707579093993,0.00376785487178077,0.0137156562201558,0.0243343358009436,0.765058487257787,0.47363141474797493,0.472944602947646,0.919421399245116,1
325,MDA_p-Low_vs_p-BoM_DOWN_FC_1,7.9021424895246e-07,0.5178030339004971,0.6250525361586939,0.7545159981304631,447,1533,0.8832921636835551,2.13541638785976,1.48838162929203,1.60331185098501,0.6044263235014761,1.4910993813978601,0.944450081534908,1.64257894974324,1.14021955858293,1.01714162041066,0.005173604725530021,2.59927152326722e-13,0.0594123759552298,0.0242791836388091,0.0137906762830882,0.0434028491078488,0.8000845070342779,0.496494198748,0.422422346054977,0.916408762710964,1
327,MDA_3_vs_proxy_parental_DOWN_FC_1,5.04426967482162e-06,0.476425534897535,0.596346787933883,0.7464534652945172,249,1731,0.9329659932389559,2.1096779825046204,1.5161789486646,1.71995589779892,0.589199578711464,1.45002906520421,0.907259176654288,1.66481916768549,1.1118647898048202,0.983962029152165,0.131172448889974,6.0505615853829e-13,0.0486468714527434,0.00904546086292614,0.00975628216888322,0.0629692300090932,0.665575660337126,0.48484200886953205,0.516920442148759,0.9206494519145191,1
329,MDA_1_vs_proxy_parental_FC_0,1.83501072178267e-10,0.48245748350369,0.5736247197990689,0.6820193082610649,838,1142,0.916603958203767,2.16448169402728,1.3100295608810602,1.5953452310983798,0.578141581167154,1.3652754367462099,0.8887699389995259,1.61919675636403,1.09545891640526,0.965611654414402,0.0923226289470922,1.03119667818937e-13,0.23511943729741,0.0303786912302589,0.0076217886168483,0.132424122588821,0.6010661150478349,0.509097902188117,0.5782224786406021,0.830160075435007,1
334,MDA_p-Low_vs_p-LM2_FC_2,2.0973698265508997e-06,0.43643543329069895,0.5575199105920999,0.7121980183024872,193,1787,0.9324858177608879,2.11149733056443,1.5055369280973998,1.8124039429853,0.60362788775235,1.58908113483262,0.901466034809333,1.67893226145425,1.1100647926368001,0.999649519357725,0.11854308527709101,6.06024327158955e-13,0.0527914589752267,0.0041615708758277,0.0136854036613777,0.0209037137127236,0.644945339304152,0.47763831089246295,0.523568051584454,0.9982751956863449,1
336,MDA_2_vs_proxy_parental_FC_0,1.178710664763e-09,0.41852268858277203,0.518977568061885,0.6435438830412679,1371,609,0.89013708184589,2.17432991974255,1.2553630892928702,1.53754025044472,0.575942769738424,1.38038241514202,0.8832391440982321,1.61761697558493,1.0976723007767,0.96383407723171,0.0241392016272739,8.854025830074302e-14,0.315520440467785,0.0463151955679682,0.00713588583209123,0.110400324918321,0.581944641270103,0.509883518495861,0.569316285986421,0.8208131096473521,1
340,MDA_11_vs_proxy_parental_FC_2,1.22863677435428e-16,0.354565374824981,0.43441561364973297,0.532248602886921,1201,779,0.8803315286279281,2.11066146522832,1.1578594195112,1.52638954965004,0.578882840949251,1.28006976626476,0.800883728171477,1.43936277238081,1.06846223250043,0.929879502423495,0.028030932099307,6.01944716838879e-13,0.547816183462281,0.0520559496483321,0.007695817216890309,0.24416327561768497,0.33969599324141,0.619206596651989,0.6881275038589301,0.660143622972254,1
341,MDA_11_vs_proxy_parental_FC_0,1.0891883122507303e-17,0.35164281287952104,0.42922396055097706,0.523921438355084,1179,801,0.870527518101625,2.06249940659786,1.1160546776079099,1.53639254988678,0.5752172403007889,1.27490648150697,0.822925510124977,1.58053241457963,1.08083346438049,0.934696658844562,0.0174182136621096,4.44674875418301e-12,0.657735840165309,0.0462666996962129,0.00702631746558791,0.24882103169329103,0.39536735034397996,0.530651586705456,0.636300969256785,0.681570794377526,1
343,MDA_11_vs_proxy_parental_FC_1,1.2972517917509598e-22,0.28836679849150504,0.35758870650283503,0.443427203434231,1219,761,0.822777831975514,2.0578288296411498,0.9978819441610279,1.41403366312895,0.581161318500941,1.1898584162389398,0.7567339336149979,1.4252492667901102,1.0549295752672398,0.89995236138046,0.00161029527507775,4.75781777320352e-12,0.993231801593675,0.11374240461733802,0.00807393148418623,0.412946145919474,0.232786959899601,0.6280462261863361,0.7456257399983941,0.5239893872373951,1
